Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name,Category,Currency
2011-05-27 00:00:00+10:00,7.008047103881836,7.008047103881836,7.008047103881836,7.008047103881836,162,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-30 00:00:00+10:00,7.022170817424719,7.022170817424719,7.0174641609191895,7.0174641609191895,6878,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-05-31 00:00:00+10:00,7.059821771275368,7.059821771275368,7.0221694244033435,7.0409955978393555,11068,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-06-01 00:00:00+10:00,7.036287555744492,7.0645270347595215,7.036287555744492,7.0645270347595215,7800,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-06-02 00:00:00+10:00,7.059819658955433,7.059819658955433,6.923329830169678,6.923329830169678,44019,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-06-03 00:00:00+10:00,6.94215606422948,6.94215606422948,6.909210382472316,6.91391658782959,9532,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-06-06 00:00:00+10:00,6.852734362060528,6.866853880951981,6.84802770614624,6.84802770614624,19977,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-06-07 00:00:00+10:00,6.880972385406494,6.885679040626897,6.880972385406494,6.880972385406494,10997,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-06-08 00:00:00+10:00,6.876266099246763,6.876266099246763,6.8668532371521,6.8668532371521,1120,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
2011-06-09 00:00:00+10:00,6.857439245720358,6.862145900726318,6.848026384559763,6.862145900726318,15353,0.0,0.0,0.0,IHD.AX,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,Unknown,AUD
